LATITUDE,LONGITUDE,ID,percapitai
40.7581443790,-73.9742660520,137,78950
40.7587432860,-73.9709396360,138,100738
40.7589340210,-73.9925155640,139,57797
40.7592468260,-73.9735412600,140,78950
40.7603492740,-73.9611358640,141,89091
40.7604446410,-73.9871902470,142,120734
40.7604446410,-73.9871902470,143,120734
40.7609786990,-73.9696426390,144,134173
40.7614784240,-73.9735031130,145,78950
40.7618446350,-73.9786987300,146,119527
40.7620925900,-73.9833450320,147,83278
40.7621765140,-73.9874725340,148,63973
40.7629203800,-73.9788055420,149,114837
40.7637062070,-73.9773025510,150,148842
40.7640190120,-73.9788970950,151,114837
40.7640457150,-73.9822311400,152,114837
40.7670326230,-73.9839859010,153,88559
40.7675514220,-73.9829483030,154,88559
40.7713661190,-73.9825897220,155,149298
40.7723579410,-73.9499206540,156,91178
40.7742118840,-73.9813537600,157,128002
40.7746391300,-73.9543304440,158,89902
40.7776451110,-73.9824752810,159,101766
40.7826271060,-73.9514312740,160,111482
40.7836341860,-73.9744567870,161,127647
40.7867050170,-73.9722442630,162,93157
40.7925224300,-73.9730300900,163,75717
40.7938652040,-73.9727478030,164,91518
40.8233833310,-73.9426116940,165,35753
40.8413505550,-73.9398193360,166,16995
40.8510017400,-73.9384231570,167,42053
40.6110420230,-73.9204635620,168,35209
40.6192741390,-74.0329513550,169,30534
40.6312637330,-73.9472427370,170,22339
40.6522254940,-73.8677139280,171,33946
40.6844406130,-73.9775161740,172,54233
40.5217933650,-74.2350463870,173,37252
40.5282783510,-74.2333145140,174,37252
40.5640640260,-74.1146698000,175,29764
40.5694732670,-74.1097869870,176,30300
40.5753440860,-74.1697082520,177,31773
40.5778656010,-73.9611282350,178,19441
40.5810661320,-74.1665115360,179,31773
40.5811080930,-73.9854278560,180,19378
40.5866241460,-74.1678161620,181,31773
40.6050186160,-73.9986114500,182,23107
40.6086082460,-73.9590072630,183,24635
40.6122360230,-74.1325836180,184,30893
40.6191711430,-73.9899139400,185,20765
40.6211318970,-74.0258178710,186,32221
40.6304550170,-74.1061248780,187,42598
40.6315727230,-74.0275650020,188,35107
40.6323394780,-73.9485702510,189,22339
40.6719779970,-73.9774627690,190,76404
40.6774826050,-73.9729385380,191,65600
40.6826362610,-73.9759445190,192,65033
40.6844558720,-73.9775238040,193,54233
40.6862258910,-73.9909973140,194,86837
40.6885490420,-73.9927749630,195,79648
40.6894302370,-73.9809112550,196,79750
40.6917648320,-73.9885635380,197,76658
40.6924476620,-73.9912643430,198,92334
40.6946983340,-73.9869613650,199,79478
40.6947021480,-73.9939651490,200,88699
40.7026939390,-73.9909057620,201,107815
40.7050018310,-74.0073852540,202,89244
40.7060317990,-74.0083465580,203,89244
40.7063179020,-74.0065841670,204,89244
40.7072143550,-74.0047683720,205,84091
40.7111358640,-74.0154266360,206,116605
40.7148628230,-74.0057601930,207,192724
40.7182312010,-74.0073165890,208,192724
40.7247200010,-73.9875717160,209,54960
40.7293586730,-73.9873733520,210,61922
40.7305297850,-73.9541397090,211,44282
40.7306938170,-73.9830780030,212,61922
40.7331810000,-74.0029296880,213,95602
40.7365455630,-73.9783782960,214,69844
40.7393760680,-74.0026092530,215,116179
40.7403755190,-73.9840927120,216,85805
40.7419509890,-73.9808120730,217,57676
40.7438363450,-73.9888839720,218,142141
40.7469749450,-73.9933242800,219,87557
40.7491455080,-73.9883041380,220,128110
40.7501640320,-73.9920349120,221,128110
40.7505264280,-73.9890213010,222,82505
40.7507171630,-73.9886703490,223,82505
40.7509994510,-73.9870147710,224,82505
40.7523002620,-73.9752273560,225,110887
40.7553253170,-73.9909057620,226,101925
